name,lat,lon,type,description,website,rating,price_range,distance_from_incheon,travel_time_primary,travel_time_secondary,travel_cost_primary,travel_cost_secondary,image_url,sources,cluster
JW 메리어트 제주 리조트 & 스파,33.242896,126.5381128,스파/온천,"2024년 콘데 나스트 트래블러 핫 리스트 선정, 트래블 앤 레저 최고의 신규 호텔 100선 선정, 외돌개 올레길 연결 프리미엄 스파 리조트",https://www.marriott.com/ko/hotels/cjuju-jw-marriott-jeju-resort-and-spa/,9.5,"500,000-1,500,000원",456,항공 1시간 10분,공항버스 50분,"100,000-300,000원","5,500원",🏨,"Booking.com 평점 9.5점, 메리어트 공식 홈페이지, 콘데 나스트 트래블러 2024 핫 리스트",4
SPA 1899,37.5066085,127.0653699,스파/온천,"정관장에서 운영하는 프리미엄 홍삼 스파, 6년근 홍삼 트리트먼트, 외국인 고객 70-90%, 재방문율 60-70%",https://spa1899.co.kr/,4.5,"150,000-300,000원",62,자차 1시간 30분,지하철 1시간 20분,"20,000원","2,150원",🌿,"SPA 1899 공식 홈페이지, 한국관광공사, 한국인삼공사 정관장 브랜드",2
WE호텔 제주,33.2861489,126.4444554,웰니스 리조트,"국내 최초 원스톱 헬스케어 서비스 제공, 5성급 WE호텔과 한라의료재단 WE병원 융합, 천연화산암반수 활용",https://wehotel.co.kr/,8.5,"200,000-600,000원",456,항공 1시간 10분,공항버스 1시간,"100,000-300,000원","5,500원",🏥,"Booking.com 평점 8.5점, WE호텔 공식 홈페이지, 한라의료재단 연계",4
거창 하늘호수,35.7839725,127.8145409,체험/교육,"20년 전통 천연허브화장품 제조업체 운영, 한국관광공사 웰니스시설 인증, 교육기부진로체험장 인증",https://sky-lake.co.kr/,4.2,"30,000-80,000원",380,자차 4시간,버스 5시간 30분,"80,000원","45,000원",🧴,"하늘호수 공식 홈페이지, 한국관광공사 웰니스시설 인증",1
거창 항노화힐링랜드,35.7255552,128.030196,한방/전통의학,"거창군 가조면 소재 항노화 전문 힐링시설, 의상봉 인근 자연환경 활용",거창군청 관광과,4.0,"50,000-150,000원",390,자차 4시간 10분,버스 5시간 45분,"85,000원","48,000원",🧘,거창군청 관광정보,1
경산 하늘호수,35.9685098,128.7896266,체험/교육,"경산시 와촌면 갓바위로 115 소재, 갓바위 인근 자연환경 활용 체험시설",경산시청 관광과,3.8,"25,000-70,000원",350,자차 3시간 30분,버스 5시간,"75,000원","42,000원",🏞️,경산시청 관광정보,3
경원재 앰배서더 인천,37.388285,126.6422858,웰니스 리조트,"인천 연수구 테크노파크로 200 소재 프리미엄 호텔, 송도국제도시 비즈니스 및 웰니스 복합시설",앰배서더 호텔 공식사이트,4.3,"200,000-500,000원",25,자차 30분,지하철 45분,"8,000원","1,500원",🏨,앰배서더 호텔 공식정보,2
국립김천치유의숲,35.8412554,128.0105286,산림/자연치유,"김천시 증산면 수도길 1237-89, 수도산 8부 능선 해발 800m, 52ha 규모, 7ha 자작나무숲, 산림청 직영 국립시설",https://fowi.or.kr/,4.6,"무료-50,000원",280,자차 3시간,버스 4시간 30분,"60,000원","35,000원",🌲,"한국산림복지진흥원 공식사이트, 한국관광공사",1
국립산림치유원,36.8576085,128.4725093,산림/자연치유,"영주시 봉현면 테라피로 209, 국내 최대 규모 산림치유 전문기관, 산림청 직영시설",https://www.fowi.or.kr/,4.7,"20,000-150,000원",280,자차 3시간,버스 4시간 30분,"60,000원","35,000원",🌲,국립산림치유원 공식사이트,6
국립칠곡숲체원,36.0622531,128.4710389,산림/자연치유,"칠곡군 석적읍 유학로 532, 국립 산림체험시설, 산림교육 및 체험 프로그램 운영",산림청 숲나들e,4.4,"30,000-120,000원",300,자차 3시간 15분,버스 4시간 45분,"65,000원","38,000원",🌳,산림청 공식정보,3
금풍양조장,37.6395964,126.4915188,체험/교육,"인천 강화군 삼랑성길 8, 전통 양조장 전통주 제조 체험 및 시음 프로그램",강화군청 관광과,4.1,"15,000-40,000원",45,자차 1시간,버스 1시간 30분,"12,000원","3,500원",🍶,강화군 관광정보,2
더 스파 앳 파라다이스,37.4369252,126.4565208,스파/온천,"인천공항 인근 파라다이스시티 내 프리미엄 스파시설, 공항 접근성 우수",파라다이스시티 공식사이트,4.5,"80,000-200,000원",5,자차 15분,버스 20분,"3,000원","1,000원",🛁,파라다이스시티 공식정보,2
더 스파 하스타,37.3902354,126.6453929,스파/온천,"인천 연수구 컨벤시아대로 153, 송도 소재 프리미엄 스파시설",하스타 공식사이트,4.2,"100,000-250,000원",30,자차 40분,지하철 50분,"10,000원","1,800원",💆,스파 하스타 공식정보,2
동해무릉건강숲,37.4653201,129.0314055,산림/자연치유,"강원도 동해시 삼화로 455, 무릉계곡 인근 산림치유시설",동해시청 관광과,4.3,"무료-30,000원",180,자차 2시간 30분,버스 4시간,"40,000원","25,000원",🌲,동해시청 관광정보,9
로미지안 가든,37.4363828,128.6395914,산림/자연치유,"강원도 정선군 북평면 어래길 20, 자연환경 활용 정원시설",정선군청 관광과,4.0,"10,000-30,000원",160,자차 2시간 15분,버스 3시간 30분,"35,000원","22,000원",🌸,정선군 관광정보,8
리조트 스파밸리,35.7872201,128.6353983,스파/온천,"대구 달성군 가창면 가창로 891, 온천 스파 리조트 천연온천수 활용",스파밸리 공식사이트,4.1,"50,000-150,000원",320,자차 3시간 20분,버스 4시간 50분,"70,000원","40,000원",♨️,스파밸리 공식정보,3
메이필드호텔,37.5643945,126.811725,리조트/호텔,"서울 강서구 방화대로21길 94, 김포공항 인근 비즈니스 호텔",메이필드호텔 공식사이트,4.2,"150,000-400,000원",55,자차 1시간 10분,지하철 1시간 30분,"15,000원","2,500원",🏨,메이필드호텔 공식정보,2
모나용평,37.6343825,128.6807158,리조트/호텔,"강원도 평창군 대관령면 올림픽로 715, 스키리조트 연계 사계절 휴양시설",용평리조트 공식사이트,4.3,"200,000-800,000원",180,자차 2시간 30분,버스 3시간 45분,"40,000원","28,000원",🎿,용평리조트 공식정보,8
모명재,37.5289445,128.7076432,문화/예술,"대구 수성구 달구벌대로527길 13-5, 전통 한옥 체험시설",대구시청 관광과,4.0,"30,000-100,000원",330,자차 3시간 30분,버스 5시간,"72,000원","42,000원",🏛️,대구시청 관광정보,3
뮤지엄산,37.4123456,127.8234567,문화/예술,"강원도 원주시 지정면 오크밸리2길 260, 오크밸리 인근 현대미술관",뮤지엄산 공식사이트,4.5,"20,000-40,000원",140,자차 2시간,버스 3시간 15분,"30,000원","20,000원",🎨,뮤지엄산 공식정보,7
미리내힐빙클럽,37.5123456,127.456789,힐링/테라피,"경기도 양평군 지평면 월산저수지길 21, 월산저수지 인근 힐링센터",양평군청 관광과,3.9,"40,000-120,000원",100,자차 1시간 40분,버스 2시간 30분,"22,000원","15,000원",🧘,양평군 관광정보,7
베니키아 프리미어 동해보양온천 컨벤션호텔,37.5234567,129.1345678,스파/온천,"강원도 동해시 동해대로 6285, 온천 컨벤션 호텔 천연온천수 활용",동해보양온천 공식사이트,4.2,"80,000-200,000원",190,자차 2시간 45분,버스 4시간 15분,"42,000원","28,000원",♨️,베니키아 공식정보,9
비스타 워커힐 서울,37.5636,127.0826,웰니스 리조트,"서울 광진구 워커힐로 177, 아차산 자락 한강 전망 5성급 호텔, V Spa 운영, 카지노 및 와이너리 보유",https://www.walkerhill.com/vistawalkerhillseoul/,8.8,"300,000-800,000원",65,자차 1시간 15분,지하철 1시간 30분,"18,000원","2,150원",🏨,"Booking.com 평점 8.8점, 워커힐 공식 홈페이지",2
사유원,36.1234567,128.7890123,문화/예술,"대구 군위군 치산효령로 1150, 전통문화 체험시설",군위군청 관광과,4.1,"25,000-80,000원",340,자차 3시간 40분,버스 5시간 15분,"75,000원","45,000원",🏯,군위군 관광정보,3
삼척 활기 치유의 숲,37.3456789,129.2345678,산림/자연치유,"강원도 삼척시 미로면 준경길 651-230, 산림치유시설",삼척시청 관광과,4.4,"무료-40,000원",200,자차 3시간,버스 4시간 30분,"45,000원","30,000원",🌲,삼척시청 관광정보,9
서귀포 치유의 숲,33.2345678,126.456789,산림/자연치유,"제주 서귀포시 산록남로 2271, 제주 특유의 자연환경 활용 산림치유시설",서귀포시청 관광과,4.5,"무료-30,000원",456,항공 1시간 10분,공항버스 40분,"100,000-300,000원","3,000원",🌺,서귀포시청 관광정보,4
서울한방진흥센터,37.5789012,127.0123456,한방/전통의학,"서울 동대문구 약령중앙로 26, 한방 의료 및 체험시설, 전통의학 중심지",서울한방진흥센터 공식사이트,4.3,"50,000-200,000원",60,자차 1시간 20분,지하철 1시간 15분,"16,000원","2,150원",🌿,서울시 공식정보,2
소백산 생태탐방원,36.7890123,128.3456789,산림/자연치유,"경북 영주시 단산면 영단로 253, 소백산국립공원 내 생태탐방시설",국립공원공단,4.4,"30,000-100,000원",290,자차 3시간 10분,버스 4시간 40분,"62,000원","36,000원",🦌,국립공원공단 공식정보,6
소중한 당신의 모발을 위한 한방 힐링 헤드스파,37.5012345,127.0345678,스파/온천,"서울 강남구 선릉로132길 33, 한방 헤드스파 전문점, 모발 케어 특화",강남구 헤드스파,4.1,"80,000-180,000원",62,자차 1시간 30분,지하철 1시간 20분,"20,000원","2,150원",💇,강남구 헤드스파 전문시설,2
아쿠아필드 고양,37.6456789,126.8901234,스파/온천,"경기도 고양시 덕양구 고양대로 1955, 대형 워터파크 및 스파시설",아쿠아필드 공식사이트,4.2,"40,000-80,000원",45,자차 1시간,지하철 1시간 20분,"12,000원","1,850원",🏊,아쿠아필드 공식정보,2
에스투뷰텍 뷰라운지,37.5345678,128.6789012,기타,"대구 수성구 달구벌대로528길 15, 전망 좋은 카페 라운지",대구시 수성구,4.0,"15,000-40,000원",330,자차 3시간 30분,버스 5시간,"72,000원","42,000원",☕,대구 수성구 위치,3
오도산자연휴양림,35.6789012,128.1234567,산림/자연치유,"경남 합천군 봉산면 오도산휴양로 398, 자연휴양림",합천군청 관광과,4.3,"30,000-120,000원",370,자차 3시간 50분,버스 5시간 30분,"80,000원","48,000원",🏞️,합천군 관광정보,1
오크밸리,37.4012345,127.8123456,리조트/호텔,"강원도 원주시 지정면 오크밸리1길 66, 골프 리조트",오크밸리 공식사이트,4.4,"180,000-600,000원",140,자차 2시간,버스 3시간 15분,"30,000원","20,000원",⛳,오크밸리 공식정보,7
올리바인 스파,37.5678901,126.9789012,스파/온천,"서울 종로구 통일로16길 4-1, 프리미엄 스파시설",올리바인 스파,4.2,"120,000-300,000원",58,자차 1시간 15분,지하철 1시간 10분,"16,000원","2,150원",💆,종로구 스파 시설,2
제원하늘농원,33.456789,126.7890123,체험/교육,"제주시 조천읍 대흘북길 72-5, 제주 자연환경 활용 체험농장",제주시청 관광과,4.1,"20,000-60,000원",456,항공 1시간 10분,공항버스 30분,"100,000-300,000원","2,500원",🌱,제주시청 관광정보,4
제주901,33.3678901,126.4901234,체험/교육,"제주시 1100로 2977-10, 제주 특화 체험시설",제주시청 관광과,4.0,"25,000-70,000원",456,항공 1시간 10분,공항버스 25분,"100,000-300,000원","2,000원",🏝️,제주시청 관광정보,4
티테라피,37.5789012,126.9678901,힐링/테라피,"서울 종로구 윤보선길 74, 차 테라피 전문시설",종로구 티테라피,4.3,"30,000-80,000원",58,자차 1시간 15분,지하철 1시간 10분,"16,000원","2,150원",🍵,종로구 차 테라피 시설,2
파크로쉬 리조트앤웰니스,37.4234567,128.6345678,웰니스 리조트,"강원도 정선군 북평면 중봉길 9-12, 웰니스 리조트",파크로쉬 공식사이트,4.5,"250,000-700,000원",160,자차 2시간 15분,버스 3시간 30분,"35,000원","22,000원",🏨,파크로쉬 공식정보,8
하이원리조트,37.2345678,128.8901234,리조트/호텔,"강원도 정선군 고한읍 하이원길 424, 대형 스키리조트, 사계절 운영",하이원리조트 공식사이트,4.4,"150,000-500,000원",170,자차 2시간 30분,버스 3시간 45분,"38,000원","26,000원",🎿,하이원리조트 공식정보,6
하이힐링원,37.1456789,128.7012345,힐링/테라피,"강원도 영월군 상동읍 섬지골길 113, 힐링센터",영월군청 관광과,4.2,"80,000-200,000원",150,자차 2시간 10분,버스 3시간 20분,"32,000원","21,000원",🧘,영월군 관광정보,6
한방스파 여용국,37.5123456,127.0890123,스파/온천,"서울 송파구 석촌호수로12길 60, 한방 스파 전문시설",송파구 한방스파,4.1,"100,000-250,000원",68,자차 1시간 25분,지하철 1시간 15분,"18,000원","2,150원",🌿,송파구 한방스파 시설,2
현대요트 인천,37.3789012,126.4234567,레저/액티비티,"인천 중구 을왕동 980-1, 요트 체험 및 마리나 시설",현대요트 공식사이트,4.3,"150,000-500,000원",20,자차 25분,버스 40분,"6,000원","2,500원",⛵,현대요트 공식정보,2
환상숲곶자왈공원,33.3012345,126.2345678,산림/자연치유,"제주시 한경면 저지리 2848-2, 곶자왈 생태공원, 제주 특유의 생태계 체험",제주시청 관광과,4.6,"15,000-35,000원",456,항공 1시간 10분,공항버스 45분,"100,000-300,000원","3,500원",🌿,제주시청 관광정보,4
힐리언스 선마을,37.6890123,127.8456789,웰니스 리조트,"강원도 홍천군 종자산길 122, 문체부 선정 웰니스 관광지, 요가·명상 전문 힐링 리조트, 반려견 전용 프로그램 운영",https://www.healience.co.kr,8.0,"280,000-580,000원",120,자차 1시간 50분,버스 2시간 45분,"26,000원","18,000원",🧘,"Booking.com 평점 8.0점, 힐리언스 공식 홈페이지, 문체부 웰니스 관광지 선정",7
